Date,Open,High,Low,Close,Adj_Close,Volume,Empty_col_H,MA_Price_200_day,MA_Price_50_day,MA_Price_20_day,MA_Price_10_day,MA_Volume_50_day
01/10/2022,100.480003,101.690002,99.290001,101.500000,101.500000,178814,-,109.567695,96.929603,96.815001,99.512001,369882.28
01/07/2022,101.529999,102.139999,100.169998,100.269997,100.269997,405800,-,109.556942,96.839824,96.466501,99.022001,372584.00
01/06/2022,101.300003,103.000000,101.129997,101.470001,101.470001,335700,-,109.545847,96.736370,96.136001,98.543002,373834.00
01/05/2022,101.010002,102.500000,100.379997,100.550003,100.550003,486000,-,109.515667,96.669289,95.800001,97.845001,375618.00
01/04/2022,100.000000,101.919998,99.500000,101.080002,101.080002,294800,-,109.479592,96.656713,95.506001,97.155001,372652.00
01/03/2022,97.540001,99.279999,97.540001,99.160004,99.160004,257600,-,109.457367,96.642811,95.177001,96.201001,374982.00
12/31/2021,97.300003,98.059998,97.169998,97.330002,97.330002,216100,-,109.459242,96.705386,94.850001,95.646001,377638.00
12/30/2021,98.889999,98.989998,97.279999,97.519997,97.519997,144200,-,109.465825,96.812651,94.665001,95.371001,382068.00
12/29/2021,97.860001,98.910004,97.599998,98.440002,98.440002,160100,-,109.470286,96.953011,94.239001,95.095001,400740.00
12/28/2021,96.599998,98.370003,96.540001,97.800003,97.800003,170900,-,109.476542,97.216235,93.798500,94.561001,404760.00
12/27/2021,95.489998,96.970001,94.910004,96.599998,96.599998,359900,-,109.490197,97.483578,93.507500,94.118001,407120.00
12/23/2021,95.320000,96.059998,95.080002,95.480003,95.480003,251600,-,109.515076,97.780248,93.290311,93.911001,406226.00
12/22/2021,93.650002,94.739998,93.339996,94.489998,94.489998,340200,-,109.537987,98.058873,93.374757,93.729001,410248.00
12/21/2021,92.559998,94.379997,92.559998,93.650002,93.650002,284500,-,109.554815,98.368148,93.522514,93.755001,409592.00
12/20/2021,92.000000,92.000000,89.750000,91.540001,91.540001,263600,-,109.569057,98.699748,93.773432,93.857001,408520.00
12/17/2021,94.559998,94.559998,92.349998,93.610001,93.610001,729600,-,109.604932,99.105313,94.092858,94.153001,410590.00
12/16/2021,95.400002,96.330002,93.970001,94.580002,94.580002,413700,-,109.615566,99.473227,94.300398,94.054001,402970.00
12/15/2021,93.070000,95.510002,93.070000,94.760002,94.760002,559200,-,109.606996,99.767286,94.431324,93.959000,401686.00
12/14/2021,93.080002,95.010002,92.699997,93.099998,93.099998,512800,-,109.602019,100.090497,94.734270,93.383000,398166.00
12/13/2021,94.339996,95.040001,92.760002,93.370003,93.370003,555500,-,109.598604,100.414157,95.127614,93.036000,392982.00
12/10/2021,94.290001,95.599998,94.029999,94.529999,94.529999,406900,-,109.606679,100.743070,95.560729,92.896999,388692.00
12/09/2021,94.080002,95.570000,93.559998,93.660004,93.660004,434300,-,109.595089,100.988805,95.884547,92.669621,389058.00
12/08/2021,95.330002,96.000000,94.419998,94.750000,94.750000,325200,-,109.596246,101.282916,96.255810,93.020512,389192.00
12/07/2021,95.180000,95.889999,94.120003,94.669998,94.669998,456600,-,109.602889,101.559370,96.561229,93.290026,387646.00
12/06/2021,94.309998,96.190002,93.500000,94.500000,94.500000,572500,-,109.608711,101.865243,96.908134,93.689864,384224.00
12/03/2021,94.300003,94.919998,91.720001,92.620003,92.620003,475100,-,109.601713,102.139989,97.268966,94.032715,379166.00
12/02/2021,89.519997,93.889999,88.919998,93.629997,93.629997,663700,-,109.596939,102.470092,97.686310,94.546796,377434.00
12/01/2021,92.099998,92.949997,88.930000,89.000000,89.000000,522500,-,109.584040,102.733432,97.994952,94.903648,375650.00
11/30/2021,91.250000,91.800003,89.400002,89.629997,89.629997,465400,-,109.598684,103.055438,98.472945,96.085539,380586.00
11/29/2021,94.769997,94.800003,91.510002,93.239998,91.979996,536600,-,109.608372,103.397792,98.892310,97.219228,378012.00
11/26/2021,95.820000,96.139999,92.739998,93.519997,92.256210,235900,-,109.600011,103.742076,99.060506,98.224458,387052.00
11/24/2021,98.669998,99.610001,98.029999,98.500000,97.168922,286400,-,109.595689,104.207698,99.298249,99.099473,388144.00
11/23/2021,99.699997,99.730003,98.199997,98.779999,97.445137,249000,-,109.571686,104.610776,99.194668,99.491108,388598.00
11/22/2021,99.959999,101.290001,99.300003,100.019997,98.668373,225500,-,109.542591,104.980314,99.228209,99.832432,390456.00
11/19/2021,98.730003,100.050003,98.190002,99.269997,97.928513,369600,-,109.505817,105.346300,99.290851,100.126405,390350.00
11/18/2021,98.879997,99.230003,96.879997,99.099998,97.760811,375000,-,109.459855,105.718206,99.413668,100.505216,388200.00
11/17/2021,101.660004,101.660004,98.230003,98.529999,97.198517,430200,-,109.418831,106.127400,99.640067,100.825824,384888.00
11/16/2021,102.180000,103.860001,101.589996,102.199997,100.818916,254300,-,109.369244,106.538765,99.914804,101.086256,380654.00
11/15/2021,103.709999,103.709999,102.169998,102.349998,100.966888,350900,-,109.289448,106.875157,100.100756,100.860351,382144.00
11/12/2021,102.669998,103.720001,102.180000,103.430000,102.032295,480700,-,109.222874,107.266989,100.632473,100.565392,380056.00
11/11/2021,102.370003,103.550003,101.570000,102.389999,101.006355,292700,-,109.144480,107.666714,101.089216,99.896554,374404.00
11/10/2021,102.279999,103.419998,101.639999,102.470001,101.085274,285600,-,109.081420,108.044144,101.610574,99.497026,374994.00
11/09/2021,102.629997,103.290001,102.050003,102.239998,100.858376,417800,-,109.013473,108.418022,102.026871,98.898228,378942.00
11/08/2021,103.459999,103.769997,102.389999,103.000000,101.608109,251900,-,108.953398,108.793084,102.481642,98.623985,375716.00
11/05/2021,102.870003,103.839996,102.129997,103.110001,101.716621,288700,-,108.897288,109.155125,102.912736,98.455296,379224.00
11/04/2021,101.949997,102.730003,101.769997,102.349998,100.966888,575900,-,108.853914,109.502171,103.417817,98.322121,378602.00
11/03/2021,99.540001,101.230003,99.029999,101.169998,99.802834,256000,-,108.812581,109.883546,103.969757,98.454311,373006.00
11/02/2021,99.370003,100.470001,99.010002,99.910004,98.559868,359300,-,108.775749,110.276365,104.443764,98.743352,375354.00
11/01/2021,96.910004,99.669998,96.510002,99.360001,98.017296,384800,-,108.737468,110.677076,105.061798,99.341162,373786.00
10/29/2021,98.050003,98.709999,96.400002,96.650002,95.343918,344500,-,108.699849,111.072263,105.625082,100.699554,370782.00
10/28/2021,96.680000,98.400002,96.620003,98.339996,97.011078,313900,-,108.686777,111.501384,106.348669,102.281879,372288.00
10/27/2021,99.739998,99.739998,96.330002,96.400002,95.097298,468300,-,108.654531,111.926757,106.838953,103.724122,371268.00
10/26/2021,101.449997,102.199997,99.410004,99.459999,98.115944,424900,-,108.646695,112.444860,107.502365,105.155515,367790.00
10/25/2021,101.970001,102.000000,100.800003,101.290001,99.921219,337700,-,108.619030,112.907325,108.025203,106.339298,364824.00
10/22/2021,103.059998,104.370003,101.360001,101.760002,100.384865,411300,-,108.590541,113.333487,108.527325,107.370176,362994.00
10/21/2021,103.680000,104.139999,102.110001,103.690002,102.288788,390400,-,108.556316,113.745641,108.919947,108.513514,359020.00
10/20/2021,105.870003,105.949997,103.129997,104.099998,102.693245,437600,-,108.512865,114.101368,109.261764,109.485203,356252.00
10/19/2021,105.000000,107.099998,103.500000,105.970001,104.537971,1077800,-,108.450645,114.408165,109.466953,110.144176,351362.00
10/18/2021,111.820000,113.169998,111.089996,113.129997,111.601212,361100,-,108.366705,114.645514,109.495068,110.782433,336296.00
10/15/2021,114.330002,114.529999,112.629997,112.690002,111.167168,288900,-,108.248961,114.740217,109.252393,110.550610,334162.00
10/14/2021,112.190002,113.639999,111.930000,112.959999,111.433510,315200,-,108.134217,114.812033,109.153744,110.415460,333846.00
10/13/2021,111.389999,111.570000,109.529999,110.910004,109.411224,452700,-,108.017361,114.858003,109.358934,109.953785,335084.00
10/12/2021,112.500000,112.709999,110.790001,111.459999,109.953781,307400,-,107.912081,114.987825,109.754514,109.849216,331964.00
10/11/2021,113.930000,114.650002,111.629997,111.739998,110.229996,230900,-,107.808384,115.104625,110.052927,109.711108,334262.00
10/08/2021,113.540001,115.260002,112.980003,113.349998,111.818245,367100,-,107.704038,115.239576,110.389812,109.684474,339522.00
10/07/2021,112.010002,113.800003,111.910004,113.540001,112.005676,348600,-,107.586088,115.338817,110.625089,109.326379,341300.00
10/06/2021,110.440002,112.000000,107.860001,110.779999,109.282974,349500,-,107.470179,115.378868,110.935832,109.038326,341472.00
10/05/2021,111.540001,112.879997,110.529999,112.440002,110.920547,383200,-,107.365052,115.442003,111.360021,108.789731,341468.00
10/04/2021,111.720001,112.620003,110.209999,110.779999,109.282974,253600,-,107.255301,115.460155,111.695919,108.207703,342138.00
10/01/2021,108.849998,112.040001,108.410004,111.320000,109.815674,341000,-,107.149490,115.494287,112.259696,107.954176,350270.00
09/30/2021,110.529999,111.040001,107.879997,108.279999,106.816757,425200,-,107.040918,115.443779,112.869838,107.892028,350770.00
09/29/2021,110.279999,111.160004,109.480003,109.849998,108.365540,441000,-,106.940652,115.474163,113.522892,108.764082,353824.00
09/28/2021,111.610001,112.629997,109.349998,110.059998,108.572701,247900,-,106.839966,115.435295,114.093575,109.659812,363224.00
09/27/2021,110.379997,112.900002,110.160004,111.470001,109.963654,285500,-,106.734484,115.460549,114.645514,110.394745,371172.00
09/24/2021,109.910004,111.370003,109.629997,109.720001,108.237297,319600,-,106.624782,115.502376,115.132838,111.095150,371334.00
09/23/2021,108.260002,111.870003,108.260002,110.620003,109.125137,388500,-,106.524297,115.617401,115.674419,111.923799,371856.00
09/22/2021,108.129997,110.150002,107.150002,108.260002,106.797028,574500,-,106.416151,115.743868,116.219946,112.833339,370962.00
